Region,Year,Company,Efficiency,Rain_Jan,Rain_Feb,Rain_Mar,Rain_Apr,Rain_May,Rain_Jun,Rain_Jul,Rain_Aug,Rain_Sep,Rain_Oct,Rain_Nov,Rain_Dec,Wind_Jan,Wind_Feb,Wind_Mar,Wind_Apr,Wind_May,Wind_Jun,Wind_Jul,Wind_Aug,Wind_Sep,Wind_Oct,Wind_Nov,Wind_Dec
Region 1,2020,A,0.73338144662399,85.71670448048519,212.7221182372132,64.10289475677507,230.4996930667062,284.63817725393756,50.19469146025358,298.0528898228044,204.37037740692912,202.91329012207024,0.0,51.76657630492935,0.0,11.614369752899103,46.734226218087244,37.99026802006789,13.266596424953079,78.16288631890214,26.293993830121295,16.342450417297457,53.28702065331611,36.77233938870139,0.0,78.82616200647517,0.0
Region 1,2020,B,0.6632703844029177,146.35412563497903,53.99156305505355,107.72345640553725,110.25636650650293,220.81587970636454,202.49916444565523,258.2987279340411,93.34116337694303,147.7651518933102,0.0,95.55902194701558,0.0,62.87529872223567,39.76091121438713,24.555916400773217,49.739022947399405,12.191930471889101,68.95993422164989,41.482789335883595,37.66051652012701,74.8661206055656,0.0,60.90903970994946,0.0
Region 1,2020,C,0.6654490124263246,0.0,120.23362742184518,0.0,185.67402078956212,85.23105624369066,0.0,250.54924518850993,68.6376609199427,296.72173415012935,243.06119232416435,99.6789203835431,51.3805292809006,0.0,67.0822999918384,0.0,59.4800140693332,61.030501762869115,0.0,63.9889242680162,15.183125621386324,35.09260099809909,18.11083416675908,70.41723981129155,53.63086887792905
Region 1,2020,D,0.6143990827458112,0.0,0.0,79.89856148457542,228.31119680574875,240.19626215422437,190.31929939237406,242.74179498864024,173.4488990910977,180.68320734549852,156.8852545896374,0.0,56.3547816860238,0.0,0.0,17.552399889531312,12.200042998071398,54.54872878846463,32.004918675342864,45.599948381529195,73.5296531748265,27.450456040421248,38.72680461249408,0.0,62.88857969801341
Region 1,2020,E,0.668807585701814,0.0,267.8651475469294,250.91801922477862,96.64251472150896,273.13974962249443,184.83556047891267,251.86003879101563,0.0,274.02282498087334,0.0,129.50086874296596,77.51298113191919,0.0,25.95546137793592,39.89754520383794,67.26103361457452,70.25114082794404,10.486649137183349,45.7523111804296,0.0,39.21877022041453,0.0,25.54754673295112,18.390575713357798
Region 1,2020,F,0.8167648553804474,174.31212647309636,125.21957745419242,0.0,121.2101235943669,0.0,59.2217368386332,202.39108349497423,175.66975580721538,62.86968781249734,119.66161605915286,277.06647149166344,109.89047266674311,20.142641046385616,44.26169321942941,0.0,78.99553178774205,0.0,26.94386900580503,57.0494883184115,63.31337307301023,26.634628079467976,60.97514440283017,35.74481929034772,54.26140814155056
Region 1,2020,G,0.9413181715946699,252.37526153492885,137.16649682293234,74.0441377728552,285.13081612240103,0.0,149.39300527188058,179.43783763187002,259.427526476832,218.92252925982018,233.80402981019304,102.26790518442843,0.0,47.90135816792961,58.70490795415575,25.998501525810976,22.246844896715533,0.0,78.75178403306049,46.164512388971,28.25804223812863,79.7377589830547,77.57935459021556,49.08054175249683,0.0
Region 1,2020,H,0.5468373839140462,90.40717852365344,0.0,274.63854713176977,201.60726491489748,0.0,52.29926290415741,75.36788571650803,215.87544227701395,51.265395961554674,90.20201285437466,187.18344734164654,222.97379942317332,55.637288165182035,0.0,25.698851662239186,59.85254549432751,0.0,26.607436124776005,32.77797887114874,62.25439835826169,55.474302933305026,69.44563873459245,56.03290246102404,49.781602233483014
Region 1,2021,A,0.6925488643009626,0.0,175.65927327629802,194.22597115658976,0.0,173.12942345471598,98.81074694951113,230.61302881537634,120.19309061021394,56.07899160786346,211.36807397679195,94.27766985176223,285.1146460882286,0.0,76.77500039018112,74.0405073154314,0.0,35.9111090178811,11.08196315702072,74.98229938114078,39.972890382212,77.66583733305687,77.45339839624769,69.71066188271521,30.611422444871
Region 1,2021,B,0.5253842655196985,102.22967940384004,217.78587920601265,139.66169532404098,0.0,113.54091226743469,123.82264710473468,130.63769105965014,262.16744873116863,84.1553328605072,227.22774922752964,188.20499422697694,0.0,30.755710055345894,39.38465995123936,27.934486051612065,0.0,52.80595976059764,15.711592628016824,10.362940394179073,53.952609046404525,23.599176745842957,14.965864189994935,37.77486790497218,0.0
Region 1,2021,C,0.8975930973843518,121.6353130320711,197.7083151422527,57.62506248476236,0.0,0.0,59.337047187303604,255.65014016491457,140.04766035281574,81.7651281629712,180.5608150137011,242.4983882746527,103.95525687421079,53.60233330733002,15.974322549563759,13.61772048180254,0.0,0.0,47.19482420977036,47.844458512707455,54.62009310487446,60.82639336058631,78.30964556237743,46.141024381083675,32.606953105887214
Region 1,2021,D,0.8518289296900119,93.32358001771144,89.10926066777151,112.56072454114883,187.30666617653011,228.6489806750156,215.0493441794328,119.9834742364857,0.0,288.7163201657985,234.47422917394212,188.58851312785018,0.0,52.820452236404655,39.372004369945294,27.34116926508102,34.91808750558831,63.04922773250584,11.007544204082912,18.125084835484138,0.0,13.220184941522692,12.851016162327909,69.8822408807705,0.0
Region 1,2021,E,0.9103197378719776,287.28643289784645,0.0,271.6700968245119,115.2234058354285,53.82613507259619,283.3590770198707,175.2599709788148,0.0,0.0,184.84436210001564,220.99094234953526,203.96279109747846,76.072412319253,0.0,76.09761179876172,70.70392534885026,54.54825182122079,66.06645062776798,57.40178396680872,0.0,0.0,50.13569291703533,18.995024726373714,66.78429237152021
